from	to	value	id
ADCY3	COL16A1	0.8789915966386554	GSE56140_cirr
AEBP1	COL16A1	0.9016042780748662	GSE56140_cirr
BGN	COL16A1	0.8557677616501145	GSE56140_cirr
C1orf198	COL16A1	0.8609625668449197	GSE56140_cirr
CCDC146	COL16A1	0.840794499618029	GSE56140_cirr
CCDC3	COL16A1	0.8310160427807486	GSE56140_cirr
CFTR	COL16A1	0.8102368220015278	GSE56140_cirr
CHST4	COL16A1	0.813292589763178	GSE56140_cirr
CLDN10	COL16A1	0.8068754774637127	GSE56140_cirr
CLIC6	COL16A1	0.8472116119174943	GSE56140_cirr
AEBP1	COL1A1	0.8490450725744844	GSE56140_cirr
BGN	COL1A1	0.8343773873185638	GSE56140_cirr
CD248	COL1A1	0.8435446906035141	GSE56140_cirr
CLIC6	COL1A1	0.8255156608097783	GSE56140_cirr
AEBP1	COL1A2	0.8466004583651642	GSE56140_cirr
BGN	COL1A2	0.8548510313216194	GSE56140_cirr
C1orf198	COL1A2	0.8383498854087089	GSE56140_cirr
CCDC146	COL1A2	0.8545454545454546	GSE56140_cirr
CLIC6	COL1A2	0.8383498854087089	GSE56140_cirr
COL16A1	COL1A2	0.8521008403361344	GSE56140_cirr
COL1A1	COL1A2	0.921466768525592	GSE56140_cirr
CCDC146	COL3A1	0.8288770053475936	GSE56140_cirr
COL1A1	COL3A1	0.8016806722689075	GSE56140_cirr
COL1A2	COL3A1	0.9006875477463712	GSE56140_cirr
COL1A1	COL4A1	0.9022154316271963	GSE56140_cirr
COL1A2	COL4A1	0.8224598930481283	GSE56140_cirr
AMBP	COL4A2	-0.8013750954927426	GSE56140_cirr
COL1A1	COL4A2	0.8169595110771581	GSE56140_cirr
COL4A1	COL4A2	0.838961038961039	GSE56140_cirr
ADAMTSL2	COL5A1	0.8203208556149731	GSE56140_cirr
AEBP1	COL5A1	0.8716577540106951	GSE56140_cirr
BGN	COL5A1	0.8563789152024446	GSE56140_cirr
C1orf198	COL5A1	0.8108479755538578	GSE56140_cirr
CCDC146	COL5A1	0.8652406417112298	GSE56140_cirr
CD248	COL5A1	0.8319327731092436	GSE56140_cirr
CFTR	COL5A1	0.8169595110771581	GSE56140_cirr
CLIC6	COL5A1	0.8508785332314743	GSE56140_cirr
COL16A1	COL5A1	0.8808250572956454	GSE56140_cirr
COL1A1	COL5A1	0.8542398777692896	GSE56140_cirr
COL1A2	COL5A1	0.8884644766997708	GSE56140_cirr
COL3A1	COL5A1	0.8731856378915203	GSE56140_cirr
COL1A1	COL5A2	0.816348357524828	GSE56140_cirr
COL4A1	COL5A2	0.8047364400305576	GSE56140_cirr
AEBP1	COL6A1	0.8982429335370512	GSE56140_cirr
AIG1	COL6A1	-0.8432391138273491	GSE56140_cirr
BGN	COL6A1	0.8713521772345301	GSE56140_cirr
CCDC3	COL6A1	0.8252100840336134	GSE56140_cirr
CD248	COL6A1	0.8585179526355997	GSE56140_cirr
CFTR	COL6A1	0.8236822001527884	GSE56140_cirr
CLEC11A	COL6A1	0.8502673796791443	GSE56140_cirr
CLIC6	COL6A1	0.812987012987013	GSE56140_cirr
COL1A1	COL6A1	0.8111535523300228	GSE56140_cirr
AEBP1	COL6A3	0.8915202444614209	GSE56140_cirr
ANXA1	COL6A3	0.8475171886936592	GSE56140_cirr
ARHGAP15	COL6A3	0.8481283422459893	GSE56140_cirr
COL16A1	COL6A3	0.841405653170359	GSE56140_cirr
COL6A1	COL6A3	0.8087089381207029	GSE56140_cirr
ADAMTSL2	COLEC11	0.8514896867838043	GSE56140_cirr
ADCY3	COLEC11	0.8692131398013752	GSE56140_cirr
CLIP3	COLEC11	0.8976317799847211	GSE56140_cirr
ANXA5	COQ10A	-0.8441558441558442	GSE56140_cirr
CAPN5	COQ10A	0.8071810542398777	GSE56140_cirr
CCL5	CORO1A	0.8316271963330787	GSE56140_cirr
CD2	CORO1A	0.8374331550802139	GSE56140_cirr
C1orf198	COX7A1	0.839266615737204	GSE56140_cirr
CCDC146	COX7A1	0.839266615737204	GSE56140_cirr
APOH	CP	0.8337662337662338	GSE56140_cirr
AQP12A	CP	0.8084033613445378	GSE56140_cirr
CDO1	CP	0.8429335370511841	GSE56140_cirr
CMBL	CPD	-0.8032085561497326	GSE56140_cirr
COQ10A	CPD	-0.8001527883880825	GSE56140_cirr
APOH	CRIP2	-0.8530175706646295	GSE56140_cirr
ARG1	CRIP2	-0.815431627196333	GSE56140_cirr
C1QTNF5	CRIP2	0.8609625668449197	GSE56140_cirr
CD37	CRIP2	0.8096256684491978	GSE56140_cirr
CDO1	CRIP2	-0.814209320091673	GSE56140_cirr
CLEC11A	CRIP2	0.8438502673796792	GSE56140_cirr
AEBP1	CRISPLD2	0.815737203972498	GSE56140_cirr
ANXA1	CRISPLD2	0.8090145148968678	GSE56140_cirr
CHST4	CRISPLD2	0.8013750954927426	GSE56140_cirr
CAMK1G	CRKRS	0.8267379679144384	GSE56140_cirr
AEBP1	CRYAB	0.8215431627196332	GSE56140_cirr
C16orf30	CRYAB	0.8111535523300228	GSE56140_cirr
C1QTNF5	CRYAB	0.838961038961039	GSE56140_cirr
CCDC3	CRYAB	0.8310160427807486	GSE56140_cirr
ACOX2	CRYL1	0.8001527883880825	GSE56140_cirr
AQP11	CRYL1	0.8285714285714286	GSE56140_cirr
C1orf225	CRYL1	-0.8426279602750191	GSE56140_cirr
COBLL1	CRYL1	0.8001527883880825	GSE56140_cirr
COQ10A	CRYL1	0.8267379679144384	GSE56140_cirr
CSAG3A	CSAG3B	0.9343009931245225	GSE56140_cirr
C13orf15	CSDA	0.8044308632543926	GSE56140_cirr
ACADM	CTH	0.8077922077922078	GSE56140_cirr
C1QTNF5	CTH	-0.8261268143621084	GSE56140_cirr
BACE2	CTNNBL1	-0.838961038961039	GSE56140_cirr
COQ10A	CTNNBL1	0.8047364400305576	GSE56140_cirr
AEBP1	CTSK	0.8291825821237586	GSE56140_cirr
BGN	CTSK	0.813292589763178	GSE56140_cirr
C16orf30	CTSK	0.8600458365164246	GSE56140_cirr
C1orf198	CTSK	0.8319327731092436	GSE56140_cirr
C1orf59	CTSK	0.8322383498854087	GSE56140_cirr
C7orf23	CTSK	0.8084033613445378	GSE56140_cirr
CCDC3	CTSK	0.8560733384262795	GSE56140_cirr
CLDN10	CTSK	0.8084033613445378	GSE56140_cirr
CLIC6	CTSK	0.8276546982429335	GSE56140_cirr
COL6A1	CTSK	0.8053475935828877	GSE56140_cirr
COL6A3	CTSK	0.8117647058823529	GSE56140_cirr
AEBP1	CXCL12	0.8426279602750191	GSE56140_cirr
AKR1B1	CXCL12	0.8206264323911382	GSE56140_cirr
ARHGEF2	CXCL12	0.813598166539343	GSE56140_cirr
BGN	CXCL12	0.9171886936592818	GSE56140_cirr
C1orf198	CXCL12	0.8166539343009931	GSE56140_cirr
CCDC146	CXCL12	0.8297937356760885	GSE56140_cirr
CCDC3	CXCL12	0.8563789152024446	GSE56140_cirr
CD248	CXCL12	0.8527119938884644	GSE56140_cirr
CFTR	CXCL12	0.8426279602750191	GSE56140_cirr
CHST4	CXCL12	0.8585179526355997	GSE56140_cirr
CLIC6	CXCL12	0.8325439266615737	GSE56140_cirr
COL1A1	CXCL12	0.8068754774637127	GSE56140_cirr
COL1A2	CXCL12	0.8016806722689075	GSE56140_cirr
COL6A1	CXCL12	0.8887700534759359	GSE56140_cirr
ARID5B	CXCL6	0.8016806722689075	GSE56140_cirr
C1orf198	CXCL6	0.815737203972498	GSE56140_cirr
CHST4	CXCL6	0.8016806722689075	GSE56140_cirr
CLIC6	CXCL6	0.8084033613445378	GSE56140_cirr
